Country,Confirmed,Date,New Cases
Argentina,1714409,2021-01-09 00:00:00+00:00,11057
Argentina,1722217,2021-01-10 00:00:00+00:00,7808
Argentina,1730921,2021-01-11 00:00:00+00:00,8704
Argentina,1744704,2021-01-12 00:00:00+00:00,13783
Argentina,1757429,2021-01-13 00:00:00+00:00,12725
Argentina,1770715,2021-01-14 00:00:00+00:00,13286
Argentina,1783047,2021-01-15 00:00:00+00:00,12332
Argentina,1791979,2021-01-16 00:00:00+00:00,8932
Argentina,1799243,2021-01-17 00:00:00+00:00,7264
Argentina,1807428,2021-01-18 00:00:00+00:00,8185
Argentina,1819569,2021-01-19 00:00:00+00:00,12141
Argentina,1831681,2021-01-20 00:00:00+00:00,12112
Argentina,1843077,2021-01-21 00:00:00+00:00,11396
Argentina,1853830,2021-01-22 00:00:00+00:00,10753
Argentina,1862192,2021-01-23 00:00:00+00:00,8362
Argentina,1867223,2021-01-24 00:00:00+00:00,5031
Argentina,1874801,2021-01-25 00:00:00+00:00,7578
Argentina,1885210,2021-01-26 00:00:00+00:00,10409
Argentina,1896053,2021-01-27 00:00:00+00:00,10843
Argentina,1905524,2021-01-28 00:00:00+00:00,9471
Argentina,1915362,2021-01-29 00:00:00+00:00,9838
Argentina,1922264,2021-01-30 00:00:00+00:00,6902
Argentina,1927239,2021-01-31 00:00:00+00:00,4975
Argentina,1933853,2021-02-01 00:00:00+00:00,6614
Argentina,1943548,2021-02-02 00:00:00+00:00,9695
Argentina,1952744,2021-02-03 00:00:00+00:00,9196
Argentina,1961635,2021-02-04 00:00:00+00:00,8891
Argentina,1970009,2021-02-05 00:00:00+00:00,8374
Argentina,1976689,2021-02-06 00:00:00+00:00,6680
Argentina,1980347,2021-02-07 00:00:00+00:00,3658
Argentina,1985501,2021-02-08 00:00:00+00:00,5154
Argentina,1993295,2021-02-09 00:00:00+00:00,7794
Argentina,2001034,2021-02-10 00:00:00+00:00,7739
Argentina,2008345,2021-02-11 00:00:00+00:00,7311
Argentina,2015496,2021-02-12 00:00:00+00:00,7151
Argentina,2021553,2021-02-13 00:00:00+00:00,6057
Argentina,2025798,2021-02-14 00:00:00+00:00,4245
Argentina,2029057,2021-02-15 00:00:00+00:00,3259
Argentina,2033060,2021-02-16 00:00:00+00:00,4003
Argentina,2039124,2021-02-17 00:00:00+00:00,6064
Argentina,2046795,2021-02-18 00:00:00+00:00,7671
Argentina,2054681,2021-02-19 00:00:00+00:00,7886
Argentina,2060625,2021-02-20 00:00:00+00:00,5944
Argentina,2064334,2021-02-21 00:00:00+00:00,3709
Argentina,2069751,2021-02-22 00:00:00+00:00,5417
Argentina,2077228,2021-02-23 00:00:00+00:00,7477
Argentina,2085411,2021-02-24 00:00:00+00:00,8183
Argentina,2093645,2021-02-25 00:00:00+00:00,8234
Argentina,2098728,2021-02-26 00:00:00+00:00,5083
Argentina,2104197,2021-02-27 00:00:00+00:00,5469
Argentina,2107365,2021-02-28 00:00:00+00:00,3168
Argentina,2112023,2021-03-01 00:00:00+00:00,4658
Argentina,2118676,2021-03-02 00:00:00+00:00,6653
Argentina,2126531,2021-03-03 00:00:00+00:00,7855
Argentina,2133963,2021-03-04 00:00:00+00:00,7432
Argentina,2141854,2021-03-05 00:00:00+00:00,7891
Argentina,2146714,2021-03-06 00:00:00+00:00,4860
Argentina,2149636,2021-03-07 00:00:00+00:00,2922
Argentina,2154694,2021-03-08 00:00:00+00:00,5058
